#Chromosome	Start	End	Region	TFs	Build
chr12	23676096	23676556	C5	-	hg19
chr12	23677124	23677998	C2	-	hg19
chr12	23678305	23679065	C2	FOXA2	hg19
chr12	23689074	23718238	C3c	PDX1, FOXA2, NKX2_2	hg19
chr12	23689074	23689606	C3	FOXA2	hg19
chr12	23703770	23704781	C3	NKX2_2	hg19
chr12	23708238	23709219	C3	PDX1	hg19
chr12	23709643	23710603	C3	FOXA2	hg19
chr12	23716951	23718238	C3	-	hg19
chr12	23770608	23771107	C2	-	hg19
chr12	23784599	23785612	C2	-	hg19
chr12	23857948	23858738	C2	-	hg19
chr12	23924172	23924929	C2	-	hg19
chr12	23947928	24008879	C3c	PDX1, MAFB, FOXA2, NKX2_2	hg19
chr12	23947928	23949032	C3	MAFB, NKX2_2	hg19
chr12	23956349	23957010	C3	NKX2_2	hg19
chr12	23962841	23963671	C3	PDX1, NKX2_2	hg19
chr12	23965451	23966788	C3	-	hg19
chr12	23967029	23967612	C3	-	hg19
chr12	23980248	23980804	C3	NKX2_2	hg19
chr12	23981540	23983731	C3	-	hg19
chr12	23996665	23997436	C3	FOXA2, NKX2_2	hg19
chr12	23998558	23999359	C3	-	hg19
chr12	23999430	23999984	C3	-	hg19
chr12	24000361	24000979	C3	-	hg19
chr12	24005411	24006037	C3	-	hg19
chr12	24006403	24007384	C3	-	hg19
chr12	24008184	24008879	C3	MAFB	hg19
chr12	24037617	24038233	C2	-	hg19
chr12	24048451	24049449	C3	-	hg19
chr12	24059091	24060358	C3	-	hg19
chr12	24100797	24104503	C1	NKX6_1, NKX2_2	hg19
chr12	24222256	24240670	C3c	FOXA2, NKX2_2	hg19
chr12	24222256	24224121	C3	FOXA2, NKX2_2	hg19
chr12	24224764	24225806	C3	-	hg19
chr12	24239941	24240670	C3	FOXA2, NKX2_2	hg19
chr12	24262280	24262752	C4	-	hg19
chr12	24264105	24264727	C5	-	hg19
chr12	24354346	24355005	C2	-	hg19
chr12	24376621	24377449	C3	PDX1, NKX2_2	hg19
chr12	24548567	24550009	C2	-	hg19
chr12	24640810	24641376	C3	MAFB, NKX2_2	hg19
chr12	24687510	24689468	C3	-	hg19
chr12	24691521	24692006	C2	-	hg19
chr12	24698626	24699854	C2	-	hg19
chr12	24704259	24704801	C3	FOXA2	hg19
chr12	24713517	24717729	C1	-	hg19
chr12	24749695	24750189	C4	-	hg19
chr12	24752091	24752913	C2	-	hg19

